Compound,Variants,Vmax (pmol/min/pmol P450),Km (?M),CLint (Vmax/Km) (?L/min/pmol P450),Primary metabolic reaction by CYP3A4,Reference
midostaurin,CYP3A4.31,1.668,0.205,8.166,O-demethylation to CGP62221 and 7-hydroxylation to CGP52421,Xu et al 2023
midostaurin,CYP3A4.32,2.624,0.316,8.312,O-demethylation to CGP62221 and 7-hydroxylation to CGP52421,Xu et al 2023
midostaurin,CYP3A4.33,3.822,0.453,8.447,O-demethylation to CGP62221 and 7-hydroxylation to CGP52421,Xu et al 2023
midostaurin,CYP3A4.34,1.348,0.303,4.463,O-demethylation to CGP62221 and 7-hydroxylation to CGP52421,Xu et al 2023
osimertinib,CYP3A4.01,4.839,27.89,0.174,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.02,6.348,75.62,0.084,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.03,4.343,21.83,0.199,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.04,4.285,23.97,0.179,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.05,5.327,53.797,0.099,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.07,6.442,86.803,0.074,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.08,8.53,119.533,0.071,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.09,4.189,22.643,0.185,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.10,3.821,31.79,0.12,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.11,4.005,45.783,0.087,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.12,4.084,51.8,0.079,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.13,3.338,40.583,0.082,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.14,3.888,42.72,0.091,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.15,4.998,20.77,0.241,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.16,5.909,60.857,0.097,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.17,7.3,163,0.045,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.18,5.075,47.75,0.106,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.19,4.245,28.183,0.151,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.23,4.642,24.557,0.189,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.24,4.918,32.283,0.154,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.28,5.597,22.807,0.245,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.29,5.968,12.033,0.496,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.31,3.967,21.34,0.186,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.32,8.841,22.28,0.397,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.33,8.34,21.413,0.389,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
osimertinib,CYP3A4.34,7.266,34.657,0.21,N-demethylation of 2 different substituents to AZ5104 and AZ7550,Gao et al 2022
oxycodone,CYP3A4.01,16.31,627.77,0.026,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.02,5.02,1582.33,0.0032,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.03,7.01,415.73,0.017,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.04,11.46,569.63,0.0202,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.05,8.65,1011.7,0.0087,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.07,3.86,592,0.0065,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.08,4.29,2144.33,0.0021,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.09,6.96,944.23,0.0074,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.10,11.07,1034.17,0.0107,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.11,3.79,1684.67,0.0023,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.12,2.83,2279.33,0.0013,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.13,6.13,1078.6,0.0057,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.14,13.3,638.37,0.0209,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.15,13.82,923.2,0.015,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.16,5.69,899.63,0.0063,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.18,10.12,758.5,0.0134,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.19,13.85,760.47,0.0182,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.23,5.15,927.03,0.0057,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.24,8.37,677.9,0.0124,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.28,12.46,653.97,0.0192,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.29,14.18,686.27,0.0207,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.31,12.71,650.37,0.0198,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.32,7.89,693.6,0.0114,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.33,6.56,628.83,0.0105,N-demthylation to noroxycodone,Cai et al 2021
oxycodone,CYP3A4.34,5.9,673.83,0.0088,N-demthylation to noroxycodone,Cai et al 2021
regorafenib,CYP3A4.01,2.1,1.79,1.17,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.02,0.39,8.81,0.04,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.03,1.26,1.53,0.83,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.04,2.26,3.42,0.66,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.05,5.5,4.37,1.27,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.07,1.33,7.53,0.18,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.08,0.39,3.9,0.1,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.09,1.17,1.68,0.74,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.10,1.97,2.28,0.87,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.11,0.79,5.93,0.14,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.12,2.89,27.29,0.11,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.13,1.07,4.62,0.24,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.14,3.19,1.6,2,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.15,2.21,1.53,1.44,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.16,1.84,1.59,1.16,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.17,0.73,23.13,0.04,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.18,1.57,2.87,0.55,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.19,1.52,1.48,1.03,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.23,0.56,1.19,0.47,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.24,1.03,0.94,1.1,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.28,2.78,1.8,1.54,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.29,2.02,1.92,1.05,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.31,1.5,1.01,1.49,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.32,0.81,0.89,0.92,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.33,1.93,1.94,1,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
regorafenib,CYP3A4.34,1.24,2.55,0.5,N-oxidation to regorafenib N-oxide and N-demethylation to N-desmethyl regorafenib,Li et al 2019 337
saxagliptan,CYP3A4.01,8.27,219.57,37.67,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.02,3.76,957.3,3.93,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.03,4.29,251.63,17.1,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.04,4.19,201.9,20.74,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.05,6.07,235.93,25.74,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.07,4.03,568.2,7.09,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.08,3.09,567.4,5.44,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.09,4.48,694.6,6.45,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.10,6.2,264.8,23.4,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.11,2.9,1100.67,2.64,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.12,4.25,3017,1.41,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.13,4.02,840.63,4.78,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.14,10.41,385.27,27.02,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.15,7.11,312.77,22.75,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.16,4.21,221.77,18.99,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.17,5.74,5452,1.05,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.18,3.56,304.07,11.72,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.19,7.16,246.47,29.04,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.20,13.54,18835.67,0.72,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.23,3.85,1295,2.98,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.24,4.12,437.1,9.42,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.28,5.83,240.47,24.24,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.29,4.38,229.13,19.11,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.31,4.75,282.07,16.84,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.32,5.58,612.73,9.1,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.33,6.34,168.6,37.59,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
saxagliptan,CYP3A4.34,4.84,515.2,9.39,5-hydroxylation to 5-hydroxy saxagliptin,Liu et al 2022
sildenafil,CYP3A4.01,9.29,64.02,0.15,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.02,13.39,169.77,0.08,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.03,10.68,56.99,0.19,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.04,10.91,71.13,0.15,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.05,6.01,147.87,0.04,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.09,10.82,85.07,0.13,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.10,12.88,67.05,0.19,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.11,21.31,167.87,0.13,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.14,9.87,53.13,0.19,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.15,10.06,62.29,0.16,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.19,10.65,62.22,0.17,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.23,11.33,76.1,0.15,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.24,3.36,"1,317.67",0,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.28,5.91,68.89,0.09,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.29,9.18,86.9,0.11,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.31,7.49,51.67,0.15,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.32,13.2,69.34,0.19,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.33,10.45,60.64,0.17,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
sildenafil,CYP3A4.34,11.78,77.36,0.15,N-demethylation to N-desmethyl sildenafil,Tang et al 2020
vandetanib,CYP3A4.01,4.6,324.57,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.02,3.9,204.6,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.03,3.42,119.87,0.03,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.04,4.94,363.93,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.05,4.86,378.47,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.07,10.51,1892.67,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.08,9.64,1572,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.09,4.13,263.7,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.10,5.4,492.3,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.11,7.64,1247.67,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.12,9.02,1481,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.13,8.39,1336.33,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.14,4.56,338,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.15,3.26,50.26,0.07,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.16,3.77,175.93,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.17,9.18,1666.67,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.18,4.18,673.1,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.19,5.47,660.83,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.20,11.88,2333.33,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.23,5.55,645.87,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.24,5.11,497.07,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.28,4.57,343.33,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.29,3.56,98.71,0.04,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.31,4.63,359.93,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.32,4.09,241.2,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.33,4.15,236.97,0.02,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
vandetanib,CYP3A4.34,5.02,455.17,0.01,N-demethylation to N-desmethyl vandetanib,Han et al 2021 709700
